"Height ""","Width """,Container,Material,Liner,Finish,Quantity,Cost
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,75000,0.101088
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,100000,0.095147
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,400000,0.095147
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,800000,0.095147
3,5.5,"Pouches/Bags, Food/Beverage Containers",White BOPP,PET,Matte,1000000,0.095147
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,1000,0.113
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,2500,0.103
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,5000,0.093
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,7500,0.088
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,10000,0.083
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,15000,0.078
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,20000,0.078
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,50000,0.073
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,75000,0.073
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,100000,0.071
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,400000,0.068
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,800000,0.065
3.625,6.5,12oz Can,Metal BOPP ,PET,Gloss,1000000,0.063
3.625,6.5,12oz Can,Metal BOPP ,PET,Matte,1000,0.115
